id,verification_status
18053,1
5088,0
2264,0
3352,0
10928,0
13659,0
24110,1
3598,0
32450,0
38128,0
16013,0
60012,1
11449,0
9244,0
434,0
10954,0
3135,0
10394,0
15455,1
26207,0
6314,0
8375,0
42795,0
3712,0
10252,0
25605,1
27463,1
4226,0
16828,0
8510,1
5457,0
2844,0
6022,0
52396,1
57502,1
9157,0
10053,0
8545,0
11191,0
6548,0
4272,1
42864,0
1757,0
58741,0
47538,0
18741,0
33861,1
52693,0
5397,0
1818,0
59,0
8333,1
11077,0
24564,0
437,0
12620,1
4171,0
9058,0
42923,0
3515,0
8838,0
27824,0
26512,0
17233,0
51075,1
24346,1
44946,0
42036,1
29952,1
16189,0
8107,1
2808,0
7413,0
243,0
8133,0
53236,1
4463,0
2972,0
2493,0
4884,0
16489,1
8529,0
21282,0
7295,0
14257,0
13313,1
58787,0
5812,0
3456,0
7222,0
4425,0
4312,0
8082,0
2818,0
47036,0
7144,1
3969,0
59527,0
7607,0
23681,1
3019,0
10542,0
5279,0
8585,1
16943,0
58966,0
907,0
40294,1
44218,0
2905,0
11304,0
43131,1
38263,0
10663,1
4013,0
3211,0
26254,0
50991,0
20358,0
5724,0
57460,0
6786,0
56383,1
58304,0
59401,1
57516,1
3207,0
1772,0
18867,0
4436,0
9185,1
40040,0
26811,1
48578,0
4723,0
52741,0
7477,0
7400,0
29420,1
11658,0
7160,0
269,0
10807,0
32560,1
2619,0
43816,1
13790,1
43568,1
31233,1
7467,0
13304,0
2637,0
758,0
52759,0
11190,0
3913,0
5105,0
19463,0
7243,0
3751,0
3996,0
43286,0
1911,1
12739,1
9701,0
8774,0
28795,1
4234,0
7393,0
11117,0
21693,0
18703,1
9643,0
84,0
38436,0
3373,0
4920,0
54291,1
12010,0
11303,0
2928,0
27680,0
8668,0
4167,0
51617,1
7374,0
3395,0
40299,0
14715,0
52832,0
36967,0
2866,0
15605,0
5654,0
370,0
3997,0
30253,1
32739,1
58182,1
40598,0
40815,1
17493,1
24395,0
8611,0
3292,1
39198,1
4774,0
3377,0
25461,1
15294,0
28652,0
8537,0
7571,0
36021,0
8904,0
8722,0
57437,0
1171,0
15893,0
23550,0
7044,1
44038,0
9736,0
7887,1
14976,0
6900,1
16277,0
54798,0
4776,0
18827,1
3747,0
30285,1
6896,0
16584,0
5771,0
60036,1
2377,0
49479,0
23010,1
58756,0
233,1
10724,0
26123,0
32768,1
29410,0
15133,0
2121,0
49857,1
49332,0
34324,0
4988,0
39357,0
387,0
5028,0
2824,0
4644,0
20604,1
807,0
33753,1
38702,0
2404,0
49804,0
10228,0
10544,0
10128,0
9224,0
11530,0
8412,0
5107,0
41734,0
8274,0
7798,0
22180,0
11509,0
9865,0
47911,1
15797,0
3075,0
16369,1
30645,0
7522,0
28663,0
21702,1
6852,0
25398,0
8323,0
11676,0
13613,1
59260,1
8945,0
41388,1
4958,0
5101,0
31900,0
20891,1
6523,0
595,0
11250,0
50487,0
4744,0
10916,1
